Symbol,Name,Sector
BHR^B,Braemar Hotels & Resorts Inc. 5.50% Series B Cumulative Convertible Preferred Stock par value $0.01 per share,
BHR^D,Braemar Hotels & Resorts Inc. 8.25% Series D Cumulative Preferred Stock  par value $0.01 per share,
BHSE,Bull Horn Holdings Corp. Ordinary Shares,Finance
BHSEU,Bull Horn Holdings Corp. Unit,Finance
BHSEW,Bull Horn Holdings Corp. Warrants,Finance
BHTG,BioHiTech Global Inc. Common Stock,Consumer Services
BHV,BlackRock Virginia Municipal Bond Trust,
BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares,Health Care
BIDU,Baidu Inc. ADS,Technology
BIF,Boulder Growth & Income Fund Inc.,
BIG,Big Lots Inc. Common Stock,Consumer Services
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,Technology
BIIB,Biogen Inc. Common Stock,Health Care
BILI,Bilibili Inc. American Depositary Shares,Technology
BILL,Bill.com Holdings Inc. Common Stock,Technology
BIMI,BOQI International Medical Inc. Common Stock,Capital Goods
BIO,Bio-Rad Laboratories Inc. Class A Common Stock,Capital Goods
BIO/B,Bio-Rad Laboratories Inc.,
BIOC,Biocept Inc. Common Stock,Health Care
BIOL,Biolase Inc. Common Stock,Health Care
BIOT,Biotech Acquisition Company Class A Ordinary Shares,Finance
BIOTU,Biotech Acquisition Company Unit,Finance
BIOTW,Biotech Acquisition Company Warrant,Finance
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,Basic Industries
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,Consumer Services
BIP^A,Brookfield Infrastructure Partners LP 5.125% Class A Preferred Limited Partnership Units Series 13,
BIP^B,Brookfield Infrastructure Partners LP 5.000% Class A Preferred Limited Partnership Units Series 14,
BIPC,Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares ,Public Utilities
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,
BIVI,BioVie Inc. Class A Common Stock,Health Care
BJ,BJ's Wholesale Club Holdings Inc. Common Stock,Consumer Services
BJRI,BJ's Restaurants Inc. Common Stock,Consumer Services
BK,The Bank of New York Mellon Corporation Common Stock,Finance
BKCC,BlackRock Capital Investment Corporation Common Stock,
BKD,Brookdale Senior Living Inc. Common Stock,Health Care
BKE,Buckle Inc. (The) Common Stock,Consumer Services
BKEP,Blueknight Energy Partners L.P. Common Units,Energy
BKEPP,Blueknight Energy Partners L.P. L.L.C. Series A Preferred Units,Energy
BKH,Black Hills Corporation Common Stock,Public Utilities
BKI,Black Knight Inc. Common Stock ,Technology
BKN,BlackRock Investment Quality Municipal Trust Inc. (The),
BKNG,Booking Holdings Inc. Common Stock,Consumer Services
BKR,Baker Hughes Company Class A Common Stock,Energy
BKSC,Bank of South Carolina Corp. Common Stock,Finance
BKT,BlackRock Income Trust Inc. (The),
BKTI,BK Technologies Corporation Common Stock,Technology
BKU,BankUnited Inc. Common Stock,Finance
BKYI,BIO-key International Inc. Common Stock,Technology
BL,BlackLine Inc. Common Stock,Technology
BLBD,Blue Bird Corporation Common Stock,Capital Goods
BLCM,Bellicum Pharmaceuticals Inc. Common Stock,Health Care
BLCT,BlueCity Holdings Limited American Depositary Shares,Technology
BLD,TopBuild Corp. Common Stock,Basic Industries
BLDG,Cambria Global Real Estate ETF,
BLDP,Ballard Power Systems Inc. Common Shares,Energy
BLDR,Builders FirstSource Inc. Common Stock,Consumer Services
BLE,BlackRock Municipal Income Trust II,
BLFS,BioLife Solutions Inc. Common Stock,Health Care
BLI,Berkeley Lights Inc. Common Stock,Capital Goods
BLIN,Bridgeline Digital Inc. Common Stock,Technology
BLK,BlackRock Inc. Common Stock,Finance
BLKB,Blackbaud Inc. Common Stock,Technology
BLL,Ball Corporation Common Stock,Consumer Durables
BLMN,Bloomin' Brands Inc. Common Stock,Consumer Services
BLNK,Blink Charging Co. Common Stock,Capital Goods
BLNKW,Blink Charging Co. Warrant,Capital Goods
BLPH,Bellerophon Therapeutics Inc. Common Stock,Health Care
BLRX,BioLineRx Ltd. American Depositary Shares,Health Care
BLSA,BCLS Acquisition Corp. Class A Ordinary Shares,Finance
BLTS,Bright Lights Acquisition Corp. Class A Common Stock,Finance
BLTSU,Bright Lights Acquisition Corp. Unit,Finance
BLTSW,Bright Lights Acquisition Corp. Warrant,Finance
BLU,BELLUS Health Inc. Common Shares,Health Care
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,Finance
BLUE,bluebird bio Inc. Common Stock,Health Care
BLUW,Blue Water Acquisition Corp. Class A Common Stock,Finance
BLUWU,Blue Water Acquisition Corp. Unit,Finance
BLUWW,Blue Water Acquisition Corp. Warrant,Finance
BLW,Blackrock Limited Duration Income Trust,Finance
BLX,Banco Latinoamericano de Comercio Exterior S.A.,Finance
BMA,Banco Macro S.A.  ADR (representing Ten Class B Common Shares),Finance
BMBL,Bumble Inc. Class A Common Stock,Technology
BME,Blackrock Health Sciences Trust,
BMEZ,BlackRock Health Sciences Trust II Common Shares of Beneficial Interest,
BMI,Badger Meter Inc. Common Stock,Capital Goods
BML^G,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a share of Floating Rate Non-Cumulative Preferred Stock  Series 1),
BML^H,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 2),
BML^J,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 4),
BML^L,Bank of America Corporation Bank of America Corporation Depositary Shares (Each representing a 1/1200th Interest in a Share of Floating Rate Non-Cumulative Preferred Stock Series 5),
BMO,Bank Of Montreal Common Stock,Finance
BMRA,Biomerica Inc. Common Stock,Health Care
BMRC,Bank of Marin Bancorp Common Stock,Finance
BMRN,BioMarin Pharmaceutical Inc. Common Stock,Health Care
BMTC,Bryn Mawr Bank Corporation Common Stock,Finance
BMTX,BM Technologies Inc. Common Stock,Finance
BMY,Bristol-Myers Squibb Company Common Stock,Health Care
BNED,Barnes & Noble Education Inc Common Stock,Consumer Services
BNFT,Benefitfocus Inc. Common Stock,Technology
BNGO,Bionano Genomics Inc. Common Stock,Capital Goods
BNGOW,Bionano Genomics Inc. Warrant,Capital Goods
BNL,Broadstone Net Lease Inc. Common Stock,Consumer Services
BNR,Burning Rock Biotech Limited American Depositary Shares,Health Care
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares,Finance
BNSO,Bonso Electronics International Inc. Common Stock,Capital Goods
BNTC,Benitec Biopharma Inc. Common Stock,Health Care
BNTX,BioNTech SE American Depositary Share,Health Care
BNY,BlackRock New York Municipal Income Trust,
BOAC,Bluescape Opportunities Acquisition Corp. Class A Ordinary Shares,Finance
BOB,Merlyn.AI Best-of-Breed Core Momentum ETF,
BOCH,Bank of Commerce Holdings (CA) Common Stock,Finance
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial Interest,
BOH,Bank of Hawaii Corporation Common Stock,Finance
BOKF,BOK Financial Corporation Common Stock,Finance
BOKFL,BOK Financial Corporation 5.375% Subordinated Notes due 2056,Finance
BOLT,Bolt Biotherapeutics Inc. Common Stock,Health Care
BOMN,Boston Omaha Corporation Class A Common Stock,Finance
BOOM,DMC Global Inc. Common Stock,Capital Goods
BOOT,Boot Barn Holdings Inc. Common Stock,Consumer Services
BORR,Borr Drilling Limited Common Shares,Energy
BOSC,B.O.S. Better Online Solutions Common Stock,Technology
BOTJ,Bank of the James Financial Group Inc. Common Stock,Finance
BOWX,BowX Acquisition Corp. Class A Common Stock,Finance
BOWXU,BowX Acquisition Corp. Unit,Finance
BOWXW,BowX Acquisition Corp. Warrant,Finance
BOX,Box Inc. Class A Common Stock,Technology
BOXL,Boxlight Corporation Class A Common Stock,Consumer Services
BP,BP p.l.c. Common Stock,Energy
BPFH,Boston Private Financial Holdings Inc. Common Stock,Finance
BPMC,Blueprint Medicines Corporation Common Stock,Health Care
BPMP,BP Midstream Partners LP Common Units representing Limited Partner Interests,Energy
BPOP,Popular Inc. Common Stock,Finance
BPOPM,Popular Inc. Popular Capital Trust II - 6.125% Cumulative Monthly Income Trust Preferred Securities,Finance
BPOPN,Popular Inc. 6.70% Cumulative Monthly Income Trust Preferred Securities,Finance
BPRN,The Bank of Princeton Common Stock,
BPT,BP Prudhoe Bay Royalty Trust Common Stock,Energy
BPTH,Bio-Path Holdings Inc. Common Stock,Health Care
BPTS,Biophytis SA American Depositary Share,
BPY,Brookfield Property Partners L.P. Limited Partnership Units,Finance
BPYPN,Brookfield Property Partners L.P. 5.750% Class A Cumulative Redeemable Perpetual Preferred Units Series 3,Finance
BPYPO,Brookfield Property Partners L.P. 6.375% Class A Cumulative Redeemable Perpetual Preferred Units Series 2,Finance
BPYPP,Brookfield Property Partners L.P. 6.50% Class A Cumulative Redeemable Perpetual Preferred Units,Finance
BPYU,Brookfield Property REIT Inc. Class A Common Stock,Consumer Services
BPYUP,Brookfield Property REIT Inc. 6.375% Series A Preferred Stock,Consumer Services
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,Consumer Services
BR,Broadridge Financial Solutions Inc.Common Stock,Miscellaneous
BRBR,BellRing Brands Inc. Class A Common Stock,Consumer Non-Durables
BRBS,Blue Ridge Bankshares Inc. Common Stock,Finance
BRC,Brady Corporation Common Stock,Consumer Durables
BREZ,Breeze Holdings Acquisition Corp. Common Stock,Finance
BREZR,Breeze Holdings Acquisition Corp. Right,Finance
BREZW,Breeze Holdings Acquisition Corp. Warrant,Finance
BRFS,BRF S.A.,Consumer Non-Durables
BRG,Bluerock Residential Growth REIT Inc. Class A Common Stock,Consumer Services
BRG^C,Bluerock Residential Growth REIT Inc. 7.625% Series C Cumulative Redeemable Preferred Stock,
BRG^D,Bluerock Residential Growth REIT Inc. 7.125% Series D Cumulative Preferred Stock ($0.01 par value per share),
BRID,Bridgford Foods Corporation Common Stock,Consumer Non-Durables
BRK/A,Berkshire Hathaway Inc.,
BRK/B,Berkshire Hathaway Inc.,
BRKL,Brookline Bancorp Inc. Common Stock,Finance
BRKR,Bruker Corporation Common Stock,Capital Goods
BRKS,Brooks Automation Inc.,Technology
BRLI,Brilliant Acquisition Corporation Ordinary Shares,Finance
BRLIR,Brilliant Acquisition Corporation Rights,Finance
BRLIU,Brilliant Acquisition Corporation Unit,Finance
BRLIW,Brilliant Acquisition Corporation Warrants,Finance
BRMK,Broadmark Realty Capital Inc. Common Stock,Consumer Services
BRN,Barnwell Industries Inc. Common Stock,Energy
BRO,Brown & Brown Inc. Common Stock,Finance
BROG,Brooge Energy Limited Ordinary Shares,Energy
BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024,Energy
BRP,BRP Group Inc. (Insurance Company) Class A Common Stock,Finance
BRPA,Big Rock Partners Acquisition Corp. Common Stock,Health Care
BRPAR,Big Rock Partners Acquisition Corp. Right,Health Care
BRPAU,Big Rock Partners Acquisition Corp. Unit,Health Care
BRPAW,Big Rock Partners Acquisition Corp. Warrant,Health Care
BRPMU,B. Riley Principal 150 Merger Corp. Unit,Finance
BRQS,Borqs Technologies Inc. Ordinary Shares,Technology
BRT,BRT Apartments Corp. (MD) Common Stock,Consumer Services
BRX,Brixmor Property Group Inc. Common Stock,Consumer Services
BRY,Berry Corporation (bry) Common Stock,Energy
BSA,BrightSphere Investment Group Inc. 5.125% Notes due 2031,Finance
BSAC,Banco Santander - Chile ADS,Finance
BSBK,Bogota Financial Corp. Common Stock,Finance
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit,Finance
BSD,BlackRock Strategic Municipal Trust Inc. (The) Common Stock,
BSE,Blackrock New York Municipal Income Quality Trust Common Shares of Beneficial Interest,
BSET,Bassett Furniture Industries Incorporated Common Stock,Consumer Durables
BSGM,BioSig Technologies Inc. Common Stock,Health Care
BSIG,BrightSphere Investment Group Inc. Common Stock,Finance
BSL,Blackstone Senior Floating Rate Term Fund Common Shares of Beneficial Interest,
BSM,Black Stone Minerals L.P. Common units representing limited partner interests,Energy
BSMX,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico,Finance
BSN,Broadstone Acquisition Corp. Class A Ordinary Shares,Finance
BSPE,Bespoke Capital Acquisition Corp. Class A Restricted Voting Shares,Finance
BSQR,BSQUARE Corporation Common Stock,Miscellaneous
BSRR,Sierra Bancorp Common Stock,Finance
BST,BlackRock Science and Technology Trust Common Shares of Beneficial Interest,
BSTZ,BlackRock Science and Technology Trust II Common Shares of Beneficial Interest,
BSVN,Bank7 Corp. Common stock,Finance
BSX,Boston Scientific Corporation Common Stock,Health Care
BSX^A,Boston Scientific Corporation 5.50% Mandatory Convertible Preferred Stock Series A,
BSY,Bentley Systems Incorporated Class B Common Stock,Technology
BTA,BlackRock Long-Term Municipal Advantage Trust BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial Interest,
BTAI,BioXcel Therapeutics Inc. Common Stock,Health Care
BTAQ,Burgundy Technology Acquisition Corporation Class A Ordinary shares,Finance
BTAQU,Burgundy Technology Acquisition Corporation Unit,Finance
BTAQW,Burgundy Technology Acquisition Corporation Warrant,Finance
BTBT,Bit Digital Inc. Ordinary Shares,Finance
BTG,B2Gold Corp Common shares (Canada),Basic Industries
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,Consumer Non-Durables
BTN,Ballantyne Strong Inc. Common Stock,Miscellaneous
BTNB,Bridgetown 2 Holdings Limited Class A Ordinary Shares,Finance
BTO,John Hancock Financial Opportunities Fund Common Stock,
BTRS,BTRS Holdings Inc. Class 1 Common Stock,Technology
BTRSW,BTRS Holdings Inc. Warrants,Technology
BTT,BlackRock Municipal 2030 Target Term Trust,
BTU,Peabody Energy Corporation Common Stock ,Energy
BTWN,Bridgetown Holdings Limited Class A Ordinary Shares,Finance
BTWNU,Bridgetown Holdings Limited Units,Finance
BTWNW,Bridgetown Holdings Limited Warrants,Finance
BTZ,BlackRock Credit Allocation Income Trust,
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),Consumer Non-Durables
BUFD,FT Cboe Vest Fund of Deep Buffer ETF,
BUFF,Innovator Laddered Fund of S&P 500 Power Buffer ETFs,
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust,
BUR,Burford Capital Limited Ordinary Shares,Finance
BURL,Burlington Stores Inc. Common Stock,Consumer Services
BUSE,First Busey Corporation Class A Common Stock,Finance
BV,BrightView Holdings Inc. Common Stock,Consumer Non-Durables
BVH,Bluegreen Vacations Holding Corporation Class A Common Stock,Finance
BVN,Buenaventura Mining Company Inc.,Basic Industries
BVS,Bioventus Inc. Class A Common Stock,Health Care
BVXV,BiondVax Pharmaceuticals Ltd. American Depositary Shares,Health Care
BW,Babcock & Wilcox Enterprises Inc. Common Stock,Capital Goods
BWA,BorgWarner Inc. Common Stock,Capital Goods
BWAC,Better World Acquisition Corp. Common Stock,Finance
BWACU,Better World Acquisition Corp. Unit,Finance
BWACW,Better World Acquisition Corp. Warrants,Finance
BWAY,Brainsway Ltd. American Depositary Shares,Health Care
BWB,Bridgewater Bancshares Inc. Common Stock,Finance
BWEN,Broadwind Inc. Common Stock,Capital Goods
BWFG,Bankwell Financial Group Inc. Common Stock,Finance
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,
BWL/A,Bowl America Inc.,
BWMX,Betterware de Mexico S.A.B. de C.V. Ordinary Shares,Consumer Services
BWSN,Babcock & Wilcox Enterprises Inc. 8.125% Senior Notes due 2026,Capital Goods
BWXT,BWX Technologies Inc. Common Stock,Energy
BX,The Blackstone Group Inc. Common Stock,Finance
BXC,Bluelinx Holdings Inc. Common Stock,Capital Goods
BXG,Bluegreen Vacations Corporation Common Stock,Finance
BXMT,Blackstone Mortgage Trust Inc. Common Stock,Consumer Services
BXMX,Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial Interest,
BXP,Boston Properties Inc. Common Stock,Consumer Services
BXP^B,Boston Properties Inc. Depositary Shares each representing 1/100th of a share of the Issuer's 5.25% Sockeries B Cumulative Redeemable Preferred St,
BXRX,Baudax Bio Inc. Common Stock,Health Care
BXS,BancorpSouth Bank Common Stock,
BXS^A,BancorpSouth Bank 5.50% Series A Non-Cumulative Perpetual Preferred Stock,
BY,Byline Bancorp Inc. Common Stock,Finance
BYD,Boyd Gaming Corporation Common Stock,Consumer Services
BYFC,Broadway Financial Corporation Common Stock,Finance
BYM,Blackrock Municipal Income Quality Trust Common Shares of Beneficial Interest,
BYND,Beyond Meat Inc. Common Stock,Consumer Non-Durables
BYSI,BeyondSpring Inc. Ordinary Shares,Health Care
BYTSU,BYTE Acquisition Corp. Units,Finance
BZH,Beazer Homes USA Inc. Common Stock,Capital Goods
BZM,BlackRock Maryland Municipal Bond Trust Common shares of beneficial interest,
BZUN,Baozun Inc. American Depositary Shares,Consumer Services
C,Citigroup Inc. Common Stock,Finance
C^J,Citigroup Inc. Dep Shs Repstg 1/1000 Pfd Ser J Fixed/Fltg,
C^K,Citigroup Inc. Dep Shs Repstg 1/1000th Pfd Ser K,Finance
C^N,Citigroup Capital XIII 7.875% Fixed rate Floating Rate trust Preferred Securities (TruPS),Finance
CAAP,Corporacion America Airports SA Common Shares,Transportation
CAAS,China Automotive Systems Inc. Common Stock,Capital Goods
CABA,Cabaletta Bio Inc. Common Stock,Health Care
CABO,Cable One Inc. Common Stock,Consumer Services
CAC,Camden National Corporation Common Stock,Finance
CACC,Credit Acceptance Corporation Common Stock,Finance
CACI,CACI International Inc. Class A Common Stock,Technology
CADE,Cadence Bancorporation Class A Common Stock,Finance
CAE,CAE Inc. Ordinary Shares,Miscellaneous
CAF,Morgan Stanley China A Share Fund Inc. Common Stock,
CAG,ConAgra Brands Inc. Common Stock,Consumer Non-Durables
CAH,Cardinal Health Inc. Common Stock,Health Care
CAHC,CA Healthcare Acquisition Corp. Class A Common Stock,Finance
CAHCU,CA Healthcare Acquisition Corp. Unit,Finance
CAHCW,CA Healthcare Acquisition Corp. Warrant,Finance
CAI,CAI International Inc. Common Stock,Technology
CAI^A,CAI International Inc. 8.50% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,
CAI^B,CAI International Inc. 8.50% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock,
CAJ,Canon Inc. American Depositary Shares,Miscellaneous
CAKE,Cheesecake Factory Incorporated (The) Common Stock,Consumer Services
CAL,Caleres Inc. Common Stock,Consumer Non-Durables
CALA,Calithera Biosciences Inc. Common Stock,Health Care
CALB,California BanCorp Common Stock,Finance
CALM,Cal-Maine Foods Inc. Common Stock,Consumer Non-Durables
CALT,Calliditas Therapeutics AB American Depositary Shares,Health Care
CALX,Calix Inc Common Stock,Consumer Services
CAMP,CalAmp Corp. Common Stock,Technology
CAMT,Camtek Ltd. Ordinary Shares,Capital Goods
CAN,Canaan Inc. American Depositary Shares,Technology
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),Health Care
CANG,Cango Inc. American Depositary Shares  each representing two (2) Class A Ordinary Shares,Technology
CAP,Capitol Investment Corp. V Class A Common Stock,Finance
CAPA,HighCape Capital Acquisition Corp. Class A Common Stock,Capital Goods
CAPAU,HighCape Capital Acquisition Corp. Unit,Capital Goods
CAPAW,HighCape Capital Acquisition Corp. Warrant,Capital Goods
CAPL,CrossAmerica Partners LP Common Units representing limited partner interests,Energy
CAPR,Capricor Therapeutics Inc. Common Stock,Health Care
CAR,Avis Budget Group Inc. Common Stock,Consumer Services
CARA,Cara Therapeutics Inc. Common Stock,Health Care
CARE,Carter Bankshares Inc. Common Stock,Finance
CARG,CarGurus Inc. Class A Common Stock ,Technology
CARR,Carrier Global Corporation Common Stock ,Capital Goods
CARS,Cars.com Inc. Common Stock ,Technology
CARV,Carver Bancorp Inc. Common Stock,Finance
CAS,Cascade Acquisition Corp. Class A Common Stock,Finance
CASA,Casa Systems Inc. Common Stock,Technology
CASH,Meta Financial Group Inc. Common Stock,Finance
CASI,CASI Pharmaceuticals Inc. Common Stock,Health Care
CASS,Cass Information Systems Inc Common Stock,Miscellaneous
CASY,Casey's General Stores Inc. Common Stock,Consumer Durables
CAT,Caterpillar Inc. Common Stock,Capital Goods
CATB,Catabasis Pharmaceuticals Inc. Common Stock,Health Care
CATC,Cambridge Bancorp Common Stock,Finance
CATM,Cardtronics plc Class A Ordinary Shares (UK),Miscellaneous
CATO,Cato Corporation (The) Class A Common Stock,Consumer Services
CATY,Cathay General Bancorp Common Stock,Finance
CB,Chubb Limited  Common Stock,Finance
CBAH,CBRE Acquisition Holdings Inc. Class A Common Stock,Finance
CBAN,Colony Bankcorp Inc. Common Stock,Finance
CBAT,CBAK Energy Technology Inc. Common Stock,Miscellaneous
CBAY,CymaBay Therapeutics Inc. Common Stock,Health Care
CBB,Cincinnati Bell Inc. Common Stock,Public Utilities
CBB^B,Cincinnati Bell Inc. Preferred Stock,
CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,Consumer Services
CBFV,CB Financial Services Inc. Common Stock,Finance
CBH,Virtus AllianzGI Convertible & Income 2024 Target Term Fund Common Shares of Beneficial Interest,
CBIO,Catalyst Biosciences Inc. Common Stock,Health Care
CBLI,Cleveland BioLabs Inc. Common Stock,Health Care
CBMB,CBM Bancorp Inc. Common Stock,Finance
CBNK,Capital Bancorp Inc. Common Stock,Finance
CBOE,Cboe Global Markets Inc. Common Stock,
CBPO,China Biologic Products Holdings Inc. Ordinary Shares,Health Care
CBRE,CBRE Group Inc Common Stock Class A,Finance
CBRL,Cracker Barrel Old Country Store Inc Common Stock,Consumer Services
CBSH,Commerce Bancshares Inc. Common Stock,Finance
CBT,Cabot Corporation Common Stock,Basic Industries
CBTG,Cabot Growth ETF,
CBTX,CBTX Inc. Common Stock,Finance
CBU,Community Bank System Inc. Common Stock,Finance
CBZ,CBIZ Inc. Common Stock,Miscellaneous
CC,Chemours Company (The) Common Stock,Basic Industries
CCAC,CITIC Capital Acquisition Corp. Class A Ordinary Shares,Finance
CCAP,Crescent Capital BDC Inc. Common stock,
CCB,Coastal Financial Corporation Common Stock,Finance
CCBG,Capital City Bank Group Common Stock,Finance
CCCC,C4 Therapeutics Inc. Common Stock,Health Care
CCD,Calamos Dynamic Convertible & Income Fund Common Stock,
CCEP,Coca-Cola European Partners plc Ordinary Shares,Consumer Non-Durables
CCF,Chase Corporation Common Stock,Consumer Durables
CCI,Crown Castle International Corp. (REIT) Common Stock,
CCIV,Churchill Capital Corp IV Class A Common Stock,Finance
CCJ,Cameco Corporation Common Stock,Basic Industries
CCK,Crown Holdings Inc.,Consumer Durables
CCL,Carnival Corporation Common Stock,Consumer Services
CCLP,CSI Compressco LP Common Units,Energy
CCM,Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares),Health Care
CCMP,CMC Materials Inc. Common Stock,Technology
CCNC,Code Chain New Continent Limited Common Stock,Consumer Durables
CCNE,CNB Financial Corporation Common Stock,Finance
CCNEP,CNB Financial Corporation Depositary Shares each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,Finance
CCO,Clear Channel Outdoor Holdings Inc. Common Stock,Consumer Services
CCOI,Cogent Communications Holdings Inc.,Consumer Services
CCRC,China Customer Relations Centers Inc. Ordinary Shares,Miscellaneous
CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,Technology
CCS,Century Communities Inc. Common Stock,Capital Goods
CCU,Compania Cervecerias Unidas S.A. Common Stock,Consumer Non-Durables
CCV,Churchill Capital Corp V Class A Common Stock,Finance
CCX,Churchill Capital Corp II Class A Common Stock,Technology
CCXI,ChemoCentryx Inc. Common Stock,Health Care
CCZ,Comcast Holdings ZONES,Consumer Services
CD,Chindata Group Holdings Limited American Depositary Shares,
CDAK,Codiak BioSciences Inc. Common Stock,Health Care
CDAY,Ceridian HCM Holding Inc. Common Stock,Technology
CDE,Coeur Mining Inc. Common Stock,Basic Industries
CDEV,Centennial Resource Development Inc. Class A Common Stock,Energy
CDK,CDK Global Inc. Common Stock,Miscellaneous
CDLX,Cardlytics Inc. Common Stock,Technology
CDMO,Avid Bioservices Inc. Common Stock,Health Care
CDMOP,Avid Bioservices Inc. 10.50% Series E Convertible Preferred Stock,Health Care
CDNA,CareDx Inc. Common Stock,Health Care
CDNS,Cadence Design Systems Inc. Common Stock,Technology
CDOR,Condor Hospitality Trust Inc. Common Stock,Consumer Services
CDR,Cedar Realty Trust Inc. Common Stock,Consumer Services
CDR^B,Cedar Realty Trust Inc. 7.25% Series B Cumulative Redeemable Preferred Stock,
CDR^C,Cedar Realty Trust Inc. 6.50% Series C Cumulative Redeemable Preferred Stock,
CDTX,Cidara Therapeutics Inc. Common Stock,Health Care
CDW,CDW Corporation Common Stock,Consumer Services
CDXC,ChromaDex Corporation Common Stock,Consumer Durables
CDXS,Codexis Inc. Common Stock,Basic Industries
CDZI,CADIZ Inc. Common Stock,Public Utilities
CE,Celanese Corporation Celanese Corporation Common Stock,Basic Industries
CEA,China Eastern Airlines Corporation Ltd. Common Stock,Transportation
CECE,CECO Environmental Corp. Common Stock,Capital Goods
CEE,The Central and Eastern Europe Fund Inc. (The) Common Stock,
CEI,Camber Energy Inc. Common Stock,Energy
CEIX,CONSOL Energy Inc. Common Stock ,Energy
CELC,Celcuity Inc. Common Stock,Health Care
CELH,Celsius Holdings Inc. Common Stock,Consumer Non-Durables
CELP,Cypress Environmental Partners L.P. Common Units representing limited partner interests,Miscellaneous
CEM,ClearBridge MLP and Midstream Fund Inc. Common Stock,
CEMI,Chembio Diagnostics Inc. Common Stock,Health Care
CEN,Center Coast Brookfield MLP & Energy Infrastructure Fund,
CENHU,Centricus Acquisition Corp. Unit,Finance
CENT,Central Garden & Pet Company Common Stock,Consumer Durables
CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting,Consumer Durables
CENX,Century Aluminum Company Common Stock,Basic Industries
CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),Public Utilities
CEQP,Crestwood Equity Partners LP,Public Utilities
CEQP^,Crestwood Equity Partners LP Preferred Units representing limited partner interests,
CERC,Cerecor Inc. Common Stock,Health Care
CERE,Cerevel Therapeutics Holdings Inc. Common Stock,Health Care
CEREW,Cerevel Therapeutics Holdings Inc. Warrant,Health Care
CERN,Cerner Corporation Common Stock,Technology
CERS,Cerus Corporation Common Stock,Health Care
CERT,Certara Inc. Common Stock,Technology
CET,Central Securities Corporation Common Stock,
CETX,Cemtrex Inc. Common Stock,Capital Goods
CETXP,Cemtrex Inc. Series 1 Preferred Stock,Capital Goods
CETXW,Cemtrex Inc. Series 1 Warrant,Capital Goods
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,
CEVA,CEVA Inc. Common Stock,Technology
CF,CF Industries Holdings Inc. Common Stock,Basic Industries
CFAC,CF Finance Acquisition Corp. III Common Stock,Finance
CFACU,CF Finance Acquisition Corp. III Unit,Finance
CFACW,CF Finance Acquisition Corp. III Warrant,Finance
CFB,CrossFirst Bankshares Inc. Common Stock,Finance
CFBK,CF Bankshares Inc. Common Stock,Finance
CFCV,ClearBridge Focus Value ETF,
CFFEU,CF Acquisition Corp. VIII Unit,Finance
CFFI,C&F Financial Corporation Common Stock,Finance
CFFN,Capitol Federal Financial Inc. Common Stock,Finance
CFFVU,CF Acquisition Corp. V Unit,Finance
CFFVW,CF Acquisition Corp. V Warrant,Finance
CFG,Citizens Financial Group Inc. Common Stock,Finance
CFG^D,Citizens Financial Group Inc. Depositary Shares each representing a 1/40th Interest in a Share of 6.350% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series D,
